카테고리,비율
프로그래밍,0.3646477132262052
데이터 사이언스,0.28553770086526575
마케팅,0.1508034610630408
업무 생산성,0.07911001236093942
디자인,0.06056860321384425
영상/3D,0.059332509270704575
