카테고리,비율
프로그래밍,0.3208489388264669
마케팅,0.27715355805243447
데이터 사이언스,0.2272159800249688
부동산/금융,0.062421972534332085
업무 생산성,0.0449438202247191
디자인,0.039950062421972535
영상/3D,0.02746566791510612
