,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
코스(상품) 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화,9,2,4,11,2,4,7,5,2,7,13,4,13,6,0,3,1,1,4,4,2,4,5,4,3,1,1,3,4,11,12
초격차 패키지 : 4인4색 노하우로 승인받는 나만의 첫 이모티콘,9,8,7,5,4,2,11,7,4,15,11,12,29,8,17,21,9,11,5,2,9,8,3,5,10,3,5,8,6,9,24
초격차 패키지 : 한번에 끝내는 영상 촬영과 편집,8,5,4,5,1,2,4,4,3,4,8,4,12,5,6,4,3,1,2,1,2,6,2,2,3,3,2,4,2,3,8
초격차 패키지 : 일잘러 필수 스킬 모음.zip,8,3,7,15,3,8,7,4,8,5,8,4,13,7,5,2,7,5,4,4,3,2,3,8,6,5,7,7,7,12,15
초격차 패키지 : 한 번에 끝내는 AWS 인프라 구축과 DevOps 운영,6,8,7,12,1,6,5,3,4,6,10,3,5,5,4,2,1,4,2,4,3,3,3,1,7,1,5,12,12,13,11
초격차 패키지 : 직장인을 위한 파이썬 데이터 분석,6,4,2,6,0,3,3,4,1,1,9,0,5,3,3,3,2,5,6,3,5,3,4,7,2,2,1,7,4,9,9
올인원 패키지 : 유니티 포트폴리오 완성,5,2,1,0,0,0,3,0,0,1,0,0,0,0,1,1,1,0,0,1,2,0,1,0,2,1,1,2,0,2,0
올인원 패키지 : star741의 캐주얼 일러스트 드로잉,5,2,3,3,2,4,5,4,3,9,8,3,11,3,3,2,0,2,6,1,3,1,0,4,2,7,0,5,1,6,11
나의 칼퇴치트키 엑셀유치원,5,5,5,8,0,1,3,4,1,1,2,3,2,3,4,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
초격차 패키지 : 한 번에 끝내는 컴퓨터 공학 전공필수 & 인공지능 심화,5,9,4,6,2,3,4,2,4,8,8,5,2,5,6,1,2,4,3,0,6,8,4,3,1,4,5,8,6,7,12
The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,4,0,1,1,1,1,2,1,3,3,3,4,13,4,4,2,2,3,5,3,5,3,2,2,3,3,6,3,6,3,11
초격차 패키지 : 한 번에 끝내는 파이썬 웹 개발,4,4,4,5,0,1,6,2,3,7,8,4,11,6,2,2,2,0,1,1,4,5,2,2,0,1,3,6,5,3,4
초격차 패키지 : 30개 프로젝트로 배우는 iOS 앱 개발 with Swift,4,5,5,8,5,6,2,1,3,1,4,0,4,2,8,3,4,3,0,3,5,6,8,5,6,2,5,3,3,8,13
초격차 패키지 : 한번에 끝내는 디자인 툴,4,1,2,2,1,0,1,3,3,6,4,3,7,2,1,0,3,0,0,0,8,2,1,1,4,1,1,2,2,0,3
초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,4,3,2,3,1,1,8,2,0,4,5,2,5,3,0,0,1,0,3,0,0,3,1,0,0,0,3,4,2,1,4
초격차 패키지 : 한 번에 끝내는 프론트엔드 개발,4,6,6,18,3,6,9,11,6,12,11,7,12,5,8,7,5,4,4,3,9,10,11,6,9,9,5,18,7,10,22
이필성의 포토클래스 시선을 사로잡는 특별한 사진을 만드는 법 Online.,4,0,4,9,1,2,2,0,0,2,4,0,1,1,4,2,0,0,1,0,3,3,1,1,0,4,0,2,3,2,3
초격차 패키지 : 한번에 끝내는 UX/UI 디자인,3,7,7,2,0,2,6,3,8,8,6,0,8,3,1,1,2,4,1,0,9,3,3,2,6,2,2,4,7,9,16
코딩 왕초보를 위한 앱 만들기 풀 패키지,3,3,2,7,0,3,5,4,2,1,3,1,4,3,2,1,4,1,0,3,2,0,2,3,1,0,4,3,2,2,2
초격차 패키지 : 한번에 끝내는 PPT 제작/디자인,3,0,1,4,1,0,0,1,3,8,4,1,4,1,1,2,0,0,1,0,0,2,1,1,4,0,1,0,0,0,1
올인원 패키지 : 인스타를 성장시킨 50명의 성공방정식,3,0,1,1,1,0,0,0,0,0,1,0,2,2,1,0,0,3,0,1,0,0,0,0,0,1,0,4,2,1,1
초격차 패키지 : 한번에 끝내는 모션그래픽,3,1,4,9,1,3,7,5,2,3,2,1,6,0,2,2,3,2,4,3,4,1,5,6,8,4,1,5,3,2,13
TypeScript를 활용한 함수형 프로그래밍 온보딩,3,2,0,1,0,1,3,1,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
올인원 패키지 : C#과 유니티로 배우는 게임개발,3,2,1,1,0,1,3,1,3,3,5,2,3,2,1,0,0,0,0,0,0,1,2,1,1,0,0,2,3,2,1
올인원 패키지 : 처음부터 시작하는 딥러닝 유치원,3,1,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,2,1,0,0,1
초격차 패키지 : 한 번에 끝내는 빅데이터처리 with Spark&Hadoop,3,0,1,6,0,0,4,2,1,7,11,1,3,1,4,2,0,0,2,2,3,4,2,0,1,0,2,4,3,3,1
초격차 패키지 : 한 번에 끝내는 node.js 웹 프로그래밍,3,5,5,4,2,0,6,8,0,4,4,3,4,2,1,0,1,1,2,0,3,3,6,3,4,1,1,2,4,0,4
"올인원 패키지 : 가장 쉽게 시작하는 데이터 분석, SQL 유치원",3,4,6,4,1,0,3,2,1,2,3,2,4,2,4,1,0,2,1,1,5,3,5,5,2,0,1,3,0,3,7
"올인원 패키지 : GA4 탑재, 구글 애널리틱스 끝장내기",3,3,5,5,0,1,2,4,1,4,3,2,5,5,10,2,12,6,3,2,2,4,3,7,1,0,2,5,2,6,8
