,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
"초격차 패키지 : 퍼포먼스 마케팅, 데이터로 완전 정복",3,5,2,5,0,1,6,3,0,4,2,0,1,2,2,1,1,1,1,1,2,1,2,0,2,0,1,2,1,3,4
초격차 패키지 : 한 번에 끝내는 코딩테스트 369 Java편,3,6,3,8,3,2,5,2,3,5,4,4,1,4,3,1,8,2,1,2,2,0,3,3,1,3,4,4,2,2,3
올인원 패키지 : 아카데미 : 편집하는여자의 영상편집 마스터클래스 - 제 1강 프리미어프로 베이직,3,1,0,2,1,0,4,2,1,2,1,0,3,0,0,1,1,0,0,2,1,0,1,0,2,0,1,2,0,1,5
올인원 패키지 : 리마의 로맨스판타지 웹소설 일러스트,3,2,0,1,0,1,1,2,1,3,2,0,3,0,0,1,0,0,4,1,0,0,1,1,0,2,2,0,4,3,5
초격차 패키지 : 직장인이 진짜 필요한 업무자동화 SUPER팩,3,1,2,4,1,1,3,2,2,2,3,1,2,1,1,0,4,0,0,0,1,1,0,3,0,2,1,3,3,1,5
올인원 패키지 : 15명의 전문 애널리스트에게 배우는 산업&매크로 분석과 투자 전략,3,3,0,6,0,0,0,1,0,0,2,1,2,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,2
초격차 패키지 : 30개 프로젝트로 배우는 Android 앱 개발 with Kotlin,3,5,5,12,3,3,10,5,1,5,8,7,6,0,4,3,4,0,3,4,3,5,0,4,2,2,2,3,3,2,13
부동산 디벨로퍼 아카데미 : 주거용 수익형 부동산 개발,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
올인원 패키지 : 100억을 움직이는 단 10장의 PPT,3,3,2,2,1,0,5,0,2,2,2,1,3,1,1,2,2,5,2,2,4,1,0,0,2,0,1,3,5,1,6
올인원 패키지 : 김민태의 프론트엔드 아카데미 : 제 1강 JavaScript & TypeScript Essential,3,2,2,2,0,1,2,1,1,3,8,2,6,0,0,1,0,0,0,1,1,3,1,1,1,0,1,4,1,1,0
히어로부터 크리쳐까지: 어벤져스 모델러의 Zbrush 모델링,3,0,2,0,0,0,0,2,0,0,2,1,2,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0
초격차 패키지 : 한 번에 끝내는 Java/Spring 웹 개발 마스터,3,15,7,15,0,6,17,6,5,13,7,3,7,6,5,4,3,3,9,4,16,8,6,9,10,3,3,11,8,9,32
올인원 패키지 : 스프링러너의 스프링 아카데미 : 원리를 이해하는 Spring MVC/Spring Boot 실전 활용 가이드,3,1,2,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,2
올인원 패키지 : 디자이너 몰래 듣는 압축 포토샵,3,2,2,5,2,2,4,1,2,3,1,3,1,4,0,3,2,1,2,2,1,2,0,0,2,0,3,4,2,4,7
올인원 패키지 : 13만 구독자 피피티프로젝트의 누구나 쉽게 배우는 시선강탈 피피티 디자인,2,1,1,0,0,0,1,1,1,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
초격차 패키지 : 30개 프로젝트로 배우는 프론트엔드 with React,2,4,7,7,0,0,7,7,1,6,9,3,9,0,3,3,1,2,1,1,5,4,5,7,4,1,1,5,3,6,8
초격차 패키지 : 한 번에 끝내는 React의 모든 것,2,9,3,4,0,0,4,5,5,4,4,1,6,5,4,1,3,2,1,0,5,2,2,1,4,3,0,3,2,4,5
초격차 패키지 : 한 번에 끝내는 일러스트레이터 활용,2,2,3,4,0,2,1,1,0,0,2,1,2,2,0,0,1,0,0,2,0,1,0,1,0,0,1,1,2,1,2
올인원 패키지 : M&A 기업가치평가 및 기술가치평가 실무,2,0,1,0,0,0,0,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1
올인원 패키지 : 구글 Material Design 시스템을 활용한 Youtube for Learning 앱 디자인 프로젝트,2,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1
초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,2,4,3,9,3,1,10,7,4,12,14,6,15,4,1,1,1,3,0,1,2,2,7,1,3,2,3,7,8,6,8
편집하는여자의 영상편집 마스터클래스 - 제 3강 디테일한 이펙트로 완성하는 프리미어,2,3,6,4,2,3,7,3,2,4,3,1,10,7,4,4,2,4,3,3,8,7,4,3,10,1,3,7,4,11,8
올인원 패키지 : 30개 글감으로 에세이 작가되기 BY.정영욱,2,2,5,6,0,1,2,1,1,2,2,1,2,3,1,1,1,0,1,0,2,0,0,2,1,0,0,1,1,1,0
올인원 패키지 : C++ 실력완성,2,1,2,4,0,1,1,0,0,0,2,1,2,3,3,1,1,2,0,0,0,1,1,0,1,0,0,0,1,1,0
초격차 패키지 : 한 번에 끝내는 디지털 마케팅(제발 원본 자료 삭제금지),2,4,4,7,0,1,7,5,7,11,10,3,11,5,3,2,3,4,2,2,9,11,5,6,8,3,3,11,7,13,22
올인원 패키지 : Unity를 활용한 영화 애니메이션 제작,2,2,0,0,1,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2
애프터이펙트 플러그인을 활용한 모션그래픽 아트워크,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0
The RED : Meta 연구원 문경식의 단일 이미지 인식을 통한 Human Pose Estimation,2,4,1,0,0,0,3,2,0,1,2,1,5,2,2,0,1,0,0,0,0,2,2,0,3,0,2,3,3,3,0
초격차 패키지 : 게임 캐릭터 모델링의 모든 것,2,0,2,3,0,1,3,0,0,2,2,1,4,1,2,0,0,3,0,1,1,0,0,0,0,1,0,1,1,1,0
블렌더로 손쉽게 만드는 캐주얼한 3D 캐릭터,2,1,0,0,0,1,2,0,0,0,2,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
부동산 디벨로퍼 아카데미 : 토지 개발,2,0,1,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,0,4,2,0,0,1
김동원의 저예산 마케팅을 위한 검색 광고 최적화 -SEO/SEM마스터,2,4,0,1,0,1,2,0,0,0,3,0,1,2,1,1,3,0,1,0,1,1,0,0,1,0,1,1,3,0,1
올인원 패키지 : 김민태의 프론트엔드 아카데미 : 제 2강 만들어보며 이해하는 React & Redux,2,2,2,1,0,0,1,1,1,0,2,1,1,0,3,1,0,0,0,0,0,0,1,1,2,0,2,3,0,0,0
올인원 패키지 : 유전 알고리즘을 활용한 머신러닝 입력 최적화 및 대안 제안 메소드,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
((2022 리부트)) 초격차 패키지 : 한 번에 끝내는 Spring 완.전.판,2,2,0,5,0,0,4,2,3,2,3,2,4,3,3,1,1,0,0,0,1,1,1,0,2,0,1,1,1,2,3
올인원 패키지 : 세일즈 코치 Cate의 B2B Sales 성공방정식,2,0,3,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
올인원 패키지 : Data Driven UX Design,2,2,2,4,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0
초격차 패키지 : 한 번에 끝내는 딥러닝/인공지능,2,2,4,7,2,3,7,7,3,7,14,3,13,4,6,1,2,3,2,1,7,3,2,5,4,4,3,6,6,8,17
올인원 패키지 : 다빈치리졸브로 배우는 영상 색 보정 A to Z,2,1,2,1,0,1,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,2
올인원 패키지 : 성립의 아이패드 오일파스텔 인물화와 감각적인 애니메이션,2,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
올인원 패키지 : 블리자드 아티스트의 게임 일러스트 빛과 색,2,1,2,5,0,1,4,1,1,2,2,1,2,0,0,0,1,0,0,0,0,3,0,1,1,5,0,1,3,1,3
용호수의 돈 버는 실전 영상 제작,2,4,0,3,0,4,5,1,1,2,2,1,4,1,1,2,1,2,3,2,3,1,1,0,1,2,1,1,1,0,6
초격차 패키지 : 한번에 끝내는 3D 모션그래픽,2,2,1,2,1,1,1,0,1,0,3,2,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0
초격차 패키지 : 세상의 모든 감성 아이패드 드로잉,2,0,1,4,3,1,4,1,2,3,2,4,3,4,3,4,0,1,1,1,0,0,1,2,1,1,3,0,1,3,7
올인원 패키지 : 아파트 말고 부동산 재테크 시작하기,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2
 올인원 패키지 : 알고리즘 기술면접 완전 정복,2,2,0,2,0,1,1,2,2,2,6,3,2,4,10,0,0,0,2,1,2,3,2,4,1,2,0,4,0,0,4
초격차 패키지 : 무조건 팔리는 SNS콘텐츠 끝장내기,2,4,2,3,0,3,7,2,0,4,6,2,4,1,0,0,0,2,0,2,6,2,1,4,2,0,3,2,3,1,7
초격차 패키지 : 한 번에 끝내는 머신러닝과 데이터분석 A-Z,2,3,3,0,2,0,4,8,3,5,5,5,5,1,1,2,1,0,0,1,3,3,2,0,1,1,3,1,2,2,10
올인원 패키지 : 완전정복 시각디자인 기초,2,5,0,10,0,0,5,1,2,1,3,4,9,1,1,0,1,2,1,0,6,1,6,2,9,0,3,4,1,6,7
3단계로 끝내는 직장인 건물주 프로젝트,1,1,1,0,0,0,1,2,0,0,1,2,2,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0
부동산 디벨로퍼 아카데미 : 인허가,1,1,0,3,0,0,1,1,2,1,1,0,1,2,0,1,1,2,3,2,1,1,0,1,0,0,1,0,0,0,1
초격차 패키지 : 나만의 애정하는 인물 드로잉,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
쟈니브로스의 영상 제작 올인원 마스터 클래스 Kit,1,0,0,0,0,0,2,1,0,0,0,1,3,0,0,0,0,3,0,0,1,2,1,1,1,0,1,2,2,2,4
올인원 패키지 : 김왼손의 파이썬 업무자동화 유치원,1,2,1,3,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,0,1,0,3,3,0,2,1
올인원 패키지 : 실시간 빅데이터 처리를 위한 Spark & Flink,1,2,1,1,1,1,7,4,0,0,1,1,3,1,3,3,0,2,0,0,2,2,2,0,0,0,0,0,0,4,1
Kafka 완전 정복 : 클러스터 구축부터 MSA 환경 활용까지,1,3,1,8,0,1,5,6,2,2,2,0,1,1,4,2,1,2,1,0,3,2,2,8,2,1,2,1,5,1,6
올인원 패키지 : 직장인 회계 첫걸음,1,1,0,6,0,1,2,0,1,2,2,1,0,0,1,1,1,0,1,0,0,0,3,0,1,0,1,0,0,0,4
올인원 패키지 : 박은종의 객체지향 설계를 위한 디자인패턴 with 자바,1,2,2,2,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
올인원 패키지 : 십다 프리미어,1,0,1,0,0,0,1,1,1,1,2,0,2,0,1,2,1,1,0,0,3,0,1,0,0,1,0,0,0,0,1
올인원 패키지 : 구글 애널리틱스,1,2,0,1,0,0,2,1,1,2,2,0,0,1,4,1,1,3,0,1,1,1,0,2,1,0,0,1,1,1,0
올인원 패키지 : 사진 촬영 및 라이트룸 보정,1,0,1,2,0,1,1,2,0,0,3,2,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,3,0
올인원 패키지 : 프로젝트와 함께 배우는 R 데이터 분석,1,1,1,1,1,0,1,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
올인원 패키지 : 카콜의 가볍게 시작하는 데일리 아이패드 크로키,1,1,3,0,0,0,2,1,1,1,1,0,2,1,0,0,0,0,1,0,1,2,0,0,1,0,0,1,0,0,3
올인원 패키지 : 스프링의 정석 : 남궁성과 끝까지 간다,1,4,2,3,0,0,4,1,1,5,4,4,13,0,3,4,2,1,3,2,2,4,7,5,5,2,3,6,2,5,17
올인원 패키지 : 공여사와 무작정 풀어보는 엑셀 실무,1,4,1,2,1,2,1,2,4,1,4,1,3,1,0,0,1,0,3,1,0,2,1,2,1,3,3,4,4,5,7
올인원 패키지 : 머신러닝 서비스 구축을 위한 실전 MLOps,1,3,2,12,0,2,9,13,2,2,6,1,4,1,0,2,0,2,0,0,2,4,6,2,2,2,3,7,4,3,6
올인원 패키지 : 통계와 엑셀을 활용한 데이터 분석,1,1,2,4,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,2,0,3,0,1,3,2,1,1
"올인원 패키지 : 김기현의 BERT, GPT-3를 활용한 자연어처리",1,1,0,1,0,0,0,3,0,2,1,2,2,1,4,1,1,0,0,0,2,3,1,3,0,1,0,1,2,2,5
올인원 패키지 : 노잼봇과 함께 배우는 파이썬 유치원,1,1,0,2,0,0,0,0,1,2,1,1,3,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1
올인원 패키지 : 모델 성능 개선으로 익히는 강화학습 A to Z,1,1,2,2,0,1,2,0,1,1,0,1,2,1,1,1,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0
올인원 패키지 : 대체투자 자산운용 실무,1,0,0,1,0,0,3,0,2,3,1,0,1,1,2,0,1,0,0,1,0,1,0,1,0,1,2,0,1,1,4
"올인원 패키지 : A/B 테스트 탑재, 개인화 마케팅 끝장내기",1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
올인원 패키지 : 실무 문제 해결을 위한 데이터 사이언스,1,0,1,2,0,0,0,1,0,2,2,1,2,1,2,0,0,0,1,0,2,0,0,1,0,0,0,0,1,2,2
올인원 패키지 : 6개월 치 업무를 하루 만에 끝내는 업무자동화,1,0,1,3,1,0,2,2,3,0,4,3,6,2,0,0,0,1,2,1,1,2,1,0,1,0,0,2,1,2,4
올인원 패키지 : 배곡파 작가의 웹소설 남자 캐릭터 일러스트,1,2,1,0,0,0,1,1,2,1,3,2,2,2,5,0,3,0,2,0,3,1,1,0,1,4,0,3,2,4,7
올인원 패키지 : 자유자재로 쓰는 태블로 대시보드 마스터,1,0,1,0,0,0,2,1,0,0,2,0,1,2,0,2,0,1,0,0,0,1,0,3,2,1,0,1,0,0,0
연습문제 패키지 : 퀴즈처럼 풀면서 배우는 파이썬 딥러닝 300제+,1,1,0,4,0,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0,3,0,1,1,2,1,0,1,0,1,3
올인원 패키지 : 김기현의 딥러닝을 활용한 자연어생성,1,1,1,1,0,0,2,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3
The RED : 모든 비즈니스를 성공으로 이끄는 Product Management Essential by 김영욱,1,3,0,1,1,0,0,1,1,0,0,1,2,2,2,0,0,0,0,0,0,1,0,1,3,1,0,0,3,1,2
초격차 패키지 : 한 번에 끝내는 데이터 분석,1,6,2,3,0,2,4,4,0,4,4,4,10,2,2,0,1,0,0,0,3,2,4,3,6,3,3,6,3,2,6
편집하는여자의 영상편집 마스터클래스 - 제 2강 10가지 편집기법으로 프리미어 레벨업하기!,1,1,3,1,0,1,1,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
올인원 패키지 : 타이포그래피와 편집디자인,1,1,0,1,0,0,0,2,1,1,1,2,0,0,0,2,2,0,0,1,1,1,0,2,0,0,1,6,8,2,1
초격차 패키지 : 한 번에 끝내는 엑셀 실무,1,2,4,4,1,1,0,1,1,1,3,3,1,3,1,2,0,0,3,1,1,5,4,2,1,3,1,1,1,1,3
초격차 패키지 : 한 번에 끝내는 마케팅 취업,1,6,2,4,0,1,2,1,0,2,0,0,0,1,2,0,1,1,0,0,1,0,3,1,1,2,0,0,1,2,0
올인원 패키지 : 브랜딩 2020,1,0,3,2,0,1,0,0,2,1,1,1,0,2,1,1,0,1,0,3,0,1,2,0,0,0,0,0,1,2,1
The RED : 블리자드 라이팅 아티스트 : 이호성의 언리얼 엔진 라이팅,1,1,0,0,1,1,3,0,0,0,4,1,2,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,2,1,0
애프터 이펙트 하나로 디자이너처럼 만드는 모션그래픽,1,1,2,2,0,0,1,0,1,1,3,0,1,1,0,1,0,1,0,0,0,0,1,0,4,0,1,0,0,2,0
올인원 패키지 : 소비자 리서치와 보고서 작성,1,0,0,2,0,1,0,1,0,0,2,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
The RED : 1조 기업 가치를 만들어 낸 경영 원칙 by 신현성,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
[Kit] 닷밀의 미디어아트 그래픽 클래스 : 모션그래픽 뉴패러다임 Creative Kit,1,1,1,5,0,0,3,0,0,1,4,0,1,0,2,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,3
올인원 패키지 : 재무/세무 회계 실무 완성,1,0,2,1,0,0,0,2,2,0,2,3,1,1,0,0,0,1,0,1,1,1,1,1,0,0,3,1,0,4,8
올인원 패키지 : 부동산 디벨로퍼,1,2,1,4,0,1,4,6,0,0,2,2,7,1,0,1,1,2,1,0,2,5,4,2,2,0,0,4,1,3,1
초격차 패키지 : 한번에 끝내는 금융ㆍ투자(IB) 실무,1,1,7,5,4,1,4,1,2,7,4,1,8,2,3,3,2,2,0,5,0,3,1,3,1,4,1,6,5,3,13
합격 패스 : 데이터베이스와 SQLD,1,3,3,5,3,2,3,2,5,4,2,1,2,0,5,1,2,1,3,0,4,2,5,1,2,1,1,4,4,4,3
The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱 ,1,1,1,0,0,1,2,1,0,1,1,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,3,1,3
올인원 패키지 : 누구나 가능한 VR/AR 콘텐츠 제작,1,1,0,5,0,0,0,0,0,3,1,0,2,1,2,1,0,0,1,0,1,2,2,1,0,0,0,2,1,0,1
MSA 환경의 효율적인 DevOps를 위한 Istio,1,2,2,7,0,1,3,1,0,0,1,1,0,0,2,0,0,3,0,0,1,4,3,0,0,1,0,1,2,1,7
올인원 패키지 : 최성일의 코딩 초급자를 위한 웹 모션 디자인,1,1,2,4,1,0,3,0,1,1,3,1,1,1,2,1,1,0,0,1,2,0,3,2,1,0,1,0,1,0,2
올인원 패키지 : 바다가 알려주는 감성가득 영상 제작,1,0,1,2,0,1,4,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
올인원 패키지 : 연봉도 배우면 바뀐다! 협상왕의 12가지 시스템 불패 전략,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
연습문제 패키지 : 퀴즈처럼 풀면서 배우는 파이썬 머신러닝 300제+,1,1,2,4,0,0,1,1,1,1,2,1,0,2,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,3
업계 TOP 세무사와 부동산 세금 고민 끝장내기,1,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
초격차 패키지 : 한번에 끝내는 재무세무회계 ,1,2,5,6,0,0,1,2,0,3,4,0,0,0,1,0,0,0,0,1,1,1,2,3,3,1,0,0,1,2,3
The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,1,4,1,4,1,2,3,5,1,6,0,1,3,1,1,1,0,2,0,1,3,2,0,1,1,0,1,2,2,3,1
코꼬마를 위한 코딩유치원,1,3,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,2,2,0,0
초격차 패키지 : 게임 개발자 취업의 모든 것,1,2,1,3,1,1,0,1,1,1,1,1,3,1,0,2,0,0,0,0,2,0,2,1,2,0,3,0,2,1,5
초격차 패키지 : 세상의 모든 연필과 펜 드로잉,1,3,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,4,2
탄탄한 Animatics에 기반한 Cinema4D 포트폴리오 퀀텀점프,1,0,0,1,1,0,1,0,0,0,2,2,4,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0
초격차 패키지 : 한 번에 끝내는 반복 업무 자동화,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 UX Explorer : UXUI Design Conference 2022 VOD 판매,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
올인원 패키지 : 마디아의 UX/UI 포트폴리오,1,2,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
올인원 패키지 : 파이썬을 활용한 데이터 전처리 Level UP,1,0,2,2,0,0,0,1,0,1,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
올인원 패키지 : 누적 다운로드 120만+ 1인 개발자와 함께하는 앱 개발 입문,1,2,1,2,0,0,3,0,0,1,3,0,3,4,0,0,0,0,0,0,1,2,1,1,0,0,1,0,1,0,2
올인원 패키지 : 소금툰과 함께 캐릭터 드로잉/굿즈/임티/컷툰,1,1,4,5,0,0,2,1,0,2,0,0,0,1,2,1,2,0,2,1,0,1,0,1,2,1,2,0,0,0,6
올인원 패키지 : 제 2의 월급을 만들어주는 직장인 스몰비즈니스 가이드,1,0,2,4,0,0,2,0,1,0,6,0,2,0,2,0,0,0,3,0,0,0,0,1,1,0,0,0,3,0,2
