,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
코스(상품) 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
편집하는여자의 영상편집 마스터클래스 - 제 3강 디테일한 이펙트로 완성하는 프리미어,6,0,10,12,9,9,7,3,11,7,3,6,7,11,5,9,6,3,4,2,5,4,4,2,6,3,4,4,5,11,18
초격차 패키지 : 한 번에 끝내는 컴퓨터 공학 전공필수 & 인공지능 심화,5,7,35,10,17,20,25,15,29,13,12,12,6,8,11,25,7,3,2,1,8,2,4,5,6,9,4,4,8,4,21
올인원 패키지 : 성립의 아이패드 오일파스텔 인물화와 감각적인 애니메이션,5,0,9,6,5,5,3,2,1,2,0,3,4,3,1,3,0,2,0,0,7,0,0,2,0,1,1,0,1,2,1
초격차 패키지 : 한 번에 끝내는 딥러닝/인공지능,5,0,33,21,27,20,18,5,19,5,4,8,9,6,6,14,6,8,4,2,8,2,2,4,6,2,10,8,8,5,13
초격차 패키지: Kubernetes와 Docker로 한 번에 끝내는 컨테이너 기반 MSA,5,2,38,16,15,26,38,13,24,7,6,9,12,13,6,17,2,1,2,4,10,2,0,5,4,6,7,19,3,4,18
올인원 패키지 : 리마의 로맨스판타지 웹소설 일러스트,5,1,11,2,5,7,3,1,5,5,2,5,2,4,3,3,2,0,4,0,4,1,2,5,2,2,2,2,1,2,4
초격차 패키지 : 30개 프로젝트로 배우는 Android 앱 개발 with Kotlin,5,3,26,14,18,15,8,4,7,6,6,4,3,6,4,11,2,1,2,4,8,0,2,7,10,0,4,3,3,1,7
초격차 패키지 : 한 번에 끝내는 머신러닝과 데이터분석 A-Z,4,3,21,5,15,11,15,5,21,4,9,3,6,2,5,9,4,2,2,2,5,2,2,3,3,7,1,5,4,3,11
초격차 패키지 : 한 번에 끝내는 프론트엔드 개발,4,5,59,32,37,20,37,19,45,14,8,17,10,10,10,32,15,6,12,10,11,3,6,14,9,9,12,8,5,5,17
초격차 패키지 : 한 번에 끝내는 디지털 마케팅(제발 원본 자료 삭제금지),4,3,24,24,32,16,17,5,37,9,4,13,6,11,7,18,5,3,6,1,8,1,3,8,5,9,7,9,4,9,19
초격차 패키지 : 한번에 끝내는 UX/UI 디자인,4,4,19,7,25,3,10,10,16,6,6,4,5,10,8,14,7,1,3,5,8,2,2,6,5,2,7,10,8,10,17
초격차 패키지 : 일잘러 필수 스킬 모음.zip,4,7,25,14,22,11,29,6,29,10,12,12,9,6,10,18,8,6,7,8,8,2,7,9,9,3,6,8,5,11,31
초격차 패키지 : 한 번에 끝내는 AWS 인프라 구축과 DevOps 운영,4,3,38,15,13,24,31,12,25,7,5,7,7,7,7,14,5,4,4,3,10,1,0,5,6,6,11,9,5,6,7
초격차 패키지 : 한 번에 끝내는 데이터 분석,4,8,31,13,14,6,23,2,25,11,8,12,7,7,3,13,10,1,1,0,3,0,3,4,5,1,3,7,2,11,13
초격차 패키지 : 한 번에 끝내는 코딩테스트 369 Java편,3,2,29,15,23,10,12,6,10,8,1,5,7,4,2,12,4,4,2,5,7,2,0,2,4,5,6,3,4,5,7
올인원 패키지 : 제 2의 월급을 만들어주는 직장인 스몰비즈니스 가이드,3,0,6,5,3,4,10,2,3,0,1,0,2,0,1,3,2,0,0,1,1,0,0,0,1,1,0,1,2,0,0
초격차 패키지 : 게임 캐릭터 모델링의 모든 것,3,2,12,4,7,1,9,3,4,0,3,2,3,1,1,2,1,1,0,1,2,0,1,3,1,1,1,1,1,3,2
초격차 패키지 : 한 번에 끝내는 엑셀 실무,3,3,12,9,5,4,8,4,7,2,4,4,1,4,2,5,2,2,2,2,2,1,1,2,3,2,5,2,1,4,5
초격차 패키지 : 한번에 끝내는 모션그래픽,3,6,30,15,20,16,18,6,16,6,3,6,9,7,6,16,5,2,1,3,7,1,3,5,6,5,4,6,5,9,13
합격 패스 : 데이터베이스와 SQLD,2,4,11,10,17,9,9,6,11,4,2,1,4,4,0,3,4,9,4,7,5,0,4,4,6,3,2,2,4,0,3
올인원 패키지 : 완전정복 시각디자인 기초,2,0,28,11,24,9,16,7,14,7,7,6,5,4,4,11,1,1,1,6,4,1,1,5,2,2,5,2,4,0,14
올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화,2,4,26,12,15,13,31,3,23,9,3,9,6,5,5,16,4,4,6,2,9,1,3,2,5,4,5,9,3,5,8
올인원 패키지 : 코딩 첫 걸음 프로젝트,2,1,6,4,7,1,5,1,4,1,0,2,1,1,1,3,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0
The RED : 모든 비즈니스를 성공으로 이끄는 Product Management Essential by 김영욱,2,0,3,1,2,7,6,3,2,3,1,2,2,2,3,5,2,1,0,1,0,1,2,3,4,1,2,5,2,1,4
올인원 패키지 : 100억을 움직이는 단 10장의 PPT,2,1,7,3,5,2,2,2,6,5,12,3,2,2,0,1,3,4,3,3,2,0,3,4,1,1,5,2,4,1,6
이필성의 포토클래스 시선을 사로잡는 특별한 사진을 만드는 법 Online.,2,3,13,5,3,3,12,2,10,1,8,0,3,5,1,3,3,0,1,3,5,5,1,2,4,2,2,1,2,3,3
초격차 패키지 : 한 번에 끝내는 Spring 완.전.판,2,0,22,8,12,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
초격차 패키지 : 세상의 모든 감성 아이패드 드로잉,2,1,24,14,22,7,15,1,7,9,7,4,4,6,6,8,4,2,2,3,3,4,5,1,0,1,4,4,3,5,9
올인원 패키지 : 재무/세무 회계 실무 완성,2,0,5,1,5,0,2,1,0,1,3,1,1,0,0,1,1,0,1,3,4,0,2,0,4,2,1,1,1,3,3
