카테고리,비율
마케팅,0.360450563204005
프로그래밍,0.26032540675844806
데이터 사이언스,0.21026282853566958
부동산/금융,0.08010012515644556
디자인,0.03629536921151439
업무 생산성,0.030037546933667083
영상/3D,0.02252816020025031
