이름,빈도수
Spring,7089
Java,6068
React,3430
Z,3009
Kotlin,2798
UX,2795
zip,2691
UI,2665
MSA,2659
DevOps,2332
Kit,2267
Android,2154
Kubernetes,2121
AWS,2107
PPT,2002
iOS,1976
Docker,1760
js,1694
CLASS,1653
GA,1642
