카테고리,비율
마케팅,0.3155080213903743
프로그래밍,0.2887700534759358
데이터 사이언스,0.2286096256684492
업무 생산성,0.07620320855614973
영상/3D,0.05080213903743316
디자인,0.040106951871657755
