,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
1666,1762,2402783,PAYMENT,88086,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-29 17:12:55,-,281000.0,CARD,281000,0,281000,0,12,29
1665,1761,2402802,PAYMENT,46450,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-29 17:12:15,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,228000.0,PROMOTION,0,281000,0,0,12,29
1716,1815,2402387,PAYMENT,28909,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-29 16:12:56,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,250000.0,POINT,30000,220000,30000,0,12,29
1664,1760,2402809,PAYMENT,98623,213706,FASTCAMPUS,올인원,일러스트,네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,2022-12-29 17:12:22,-,279000.0,CARD,279000,0,279000,0,12,29
1660,1756,2402863,PAYMENT,83493,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-29 17:12:08,-,220000.0,TRANS,220000,0,220000,0,12,29
1657,1753,2402878,PAYMENT,16461,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-29 18:12:35,-,281000.0,CARD,281000,0,281000,0,12,29
1653,1746,2402920,PAYMENT,54773,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-29 18:12:16,-,188000.0,TRANS,188000,0,188000,0,12,29
1652,1745,2402923,PAYMENT,87855,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-29 18:12:30,-,281000.0,CARD,281000,0,281000,0,12,29
1651,1744,2402942,PAYMENT,2305,213706,FASTCAMPUS,올인원,일러스트,네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,2022-12-29 18:12:08,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,279000.0,TRANS,59000,220000,59000,0,12,29
1649,1742,2402948,PAYMENT,57746,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-29 18:12:45,-,281000.0,TRANS,281000,0,281000,0,12,29
1648,1741,2402965,PAYMENT,80128,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-29 18:12:15,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,250000.0,PROMOTION,0,281000,0,0,12,29
1647,1740,2402967,PAYMENT,39192,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-29 18:12:09,-,281000.0,CARD,281000,0,281000,0,12,29
1644,1737,2402975,PAYMENT,4914,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-29 18:12:07,-,281000.0,CARD,281000,0,281000,0,12,29
1641,1734,2402996,PAYMENT,41909,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-29 18:12:20,-,281000.0,POINT,281000,0,281000,0,12,29
1636,1729,2403013,PAYMENT,2481,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-29 18:12:29,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,188000.0,PROMOTION,0,279000,0,0,12,29
