카테고리,비율
마케팅,0.3139083139083139
프로그래밍,0.26262626262626265
데이터 사이언스,0.17793317793317792
부동산/금융,0.14918414918414918
디자인,0.03807303807303807
업무 생산성,0.030303030303030304
영상/3D,0.027972027972027972
