,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
52314,57493,2094064,PAYMENT,79017,211114,FASTCAMPUS,RED,데이터 사이언스,The RED : Snowflake를 활용한 클라우드 데이터 엔지니어링,2022-08-29 11:08:17,[WELCOME] The Red 강의 2만원 할인,182000.0,CARD,162000,20000,162000,0,8,29
52318,57499,2094056,PAYMENT,25749,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-08-29 11:08:07,-,234000.0,CARD,234000,0,234000,0,8,29
52337,57525,2093992,PAYMENT,50848,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-29 11:08:54,[WELCOME] The Red 강의 3만원 할인,196000.0,CARD,166000,30000,166000,0,8,29
52340,57528,2093971,PAYMENT,21543,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-29 11:08:11,[WELCOME] The Red 강의 2만원 할인,367000.0,TRANS,347000,20000,347000,0,8,29
52352,57543,2093915,PAYMENT,60298,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-29 10:08:22,[WELCOME] The Red 강의 2만원 할인,143000.0,CARD,123000,20000,123000,0,8,29
52362,57565,2093839,PAYMENT,16847,209521,FASTCAMPUS,RED,디자인,"The RED : 구글이 선택한 디자이너, 한유진의 디자인 시장 생존전략",2022-08-29 10:08:22,-,199000.0,CARD,199000,0,199000,0,8,29
52365,57570,2093826,PAYMENT,20210,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-29 10:08:31,[WELCOME] The Red 강의 2만원 할인,367000.0,POINT,347000,20000,347000,0,8,29
52378,57586,2093779,PAYMENT,54138,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-29 09:08:50,-,143000.0,CARD,143000,0,143000,0,8,29
52388,57597,2093731,PAYMENT,30945,205143,FASTCAMPUS,RED,프로그래밍,The RED : 백엔드 에센셜 : 대용량 서비스를 위한 아키텍처 with Redis by 강대명,2022-08-29 09:08:47,[WELCOME] The Red 강의 3만원 할인,281000.0,CARD,251000,30000,251000,0,8,29
52390,57599,2093725,PAYMENT,80804,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-08-29 09:08:30,[WELCOME] The Red 강의 3만원 할인,195500.0,POINT,165500,30000,165500,0,8,29
52391,57600,2093723,PAYMENT,28768,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-29 09:08:51,[WELCOME] The Red 강의 2만원 할인,367000.0,CARD,347000,20000,347000,0,8,29
52425,57634,2093600,PAYMENT,43140,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-29 07:08:44,-,330000.0,CARD,330000,0,330000,0,8,29
52426,57635,2093597,PAYMENT,11367,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-08-29 07:08:02,-,367000.0,CARD,367000,0,367000,0,8,29
