카테고리,비율
프로그래밍,0.3384615384615385
마케팅,0.29025641025641025
데이터 사이언스,0.17025641025641025
부동산/금융,0.07384615384615385
업무 생산성,0.05128205128205128
영상/3D,0.041025641025641026
디자인,0.03487179487179487
