,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
코스(상품) 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초격차 패키지 : 한 번에 끝내는 디지털 마케팅(제발 원본 자료 삭제금지),33,3,4,1,5,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
올인원 패키지 : 해오의 입문자를 위한 얼굴 그리기 강의,12,7,9,3,10,6,5,5,2,6,12,3,2,6,11,10,5,12,6,6,8,8,13,8,13,16,6,11,12,15,31
Live2D로 만드는 버츄얼 캐릭터 : 일러스트부터 리깅까지,11,22,27,9,14,20,44,11,13,16,14,16,19,30,12,13,11,10,13,9,32,13,11,7,6,8,18,25,6,8,16
 초격차 패키지 : 한 번에 끝내는 서비스 기획의 모든 것,10,6,8,8,2,4,4,9,12,8,9,12,7,6,18,14,10,6,8,5,7,7,8,10,7,9,3,7,9,17,24
"초격차 패키지: GA4 탑재, 2023년 구글 애널리틱스 완전 정복",9,12,7,5,4,4,1,10,4,3,3,5,0,5,1,8,7,2,8,2,1,5,5,7,4,1,2,4,15,7,12
초격차 패키지 : 30개 프로젝트로 배우는 iOS 앱 개발 with Swift,8,2,2,1,1,0,2,4,3,4,2,0,3,6,11,3,2,4,1,1,1,5,0,2,4,1,1,0,0,6,4
The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,7,1,6,5,3,1,1,4,4,4,2,4,2,1,3,7,1,1,2,1,0,1,2,2,2,2,2,1,0,6,5
초격차 패키지 : 10개 프로젝트로 완성하는 백엔드 웹개발(Java/Spring),7,6,5,6,8,6,7,8,7,5,8,10,7,21,39,18,11,10,14,8,3,14,9,5,6,12,8,8,21,20,28
Kubernetes 자격증 마스터 클래스 : CKA/CKAD/CKS,7,6,1,2,4,5,6,4,3,9,3,5,2,7,3,5,3,2,3,4,4,3,1,3,4,1,2,1,6,7,6
초격차 패키지 : 한 번에 끝내는 Java/Spring 웹 개발 마스터,7,2,2,4,4,1,3,8,5,6,6,1,4,5,15,2,4,7,5,4,1,1,5,3,6,4,4,2,5,4,14
The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,6,13,9,4,5,1,0,5,11,8,7,5,6,15,13,6,7,8,5,5,3,10,7,6,8,6,2,13,3,4,8
올인원 패키지 : 컴퓨터 비전 정주행 Kit,6,3,1,3,1,1,3,2,0,4,1,1,1,7,1,1,3,3,3,1,2,1,2,2,2,1,1,1,3,0,3
"CLASS : 건축, 웹툰, 어디든 가장 쉬운 3D 디자인툴 : 스케치업 튜토리얼",6,0,5,2,2,1,1,4,2,2,5,0,3,2,5,5,3,3,3,1,2,5,5,2,0,2,1,0,5,4,20
올인원 패키지 : 세계 3등에게 배우는 실무 밀착 데이터 시각화,6,1,3,0,4,2,1,4,0,5,5,2,5,1,7,5,4,4,7,2,0,7,3,5,4,7,1,3,4,7,13
초격차 패키지 : 한 번에 끝내는 딥러닝/인공지능,6,4,2,1,2,0,0,1,1,5,5,0,2,2,1,0,2,2,1,1,0,0,2,2,6,2,3,1,5,4,8
초격차 패키지 : 한 번에 끝내는 프론트엔드 개발,6,3,3,2,11,6,3,7,14,9,3,4,10,20,14,3,5,4,9,1,1,3,4,3,4,6,2,0,9,13,15
올인원 패키지 : 스프링의 정석 : 남궁성과 끝까지 간다,5,3,5,4,3,7,2,5,7,11,11,2,6,6,12,8,0,4,2,3,4,3,5,10,3,4,4,4,7,12,14
올인원 패키지 : 권오상의 금융 아카데미 - 내부회계관리제도 (수강시간 제한),5,1,0,4,5,5,4,1,1,0,3,3,1,3,2,5,2,2,2,0,1,2,2,0,0,1,1,0,0,1,2
올인원 패키지 : 권오상의 금융 아카데미 - 권오상의 재무제표 분석 심화 (수강시간 제한),5,0,0,1,0,0,1,1,0,2,2,0,0,0,0,1,0,2,1,0,0,0,3,0,3,2,1,2,0,4,5
올인원 패키지 : 소금툰과 함께 캐릭터 드로잉/굿즈/임티/컷툰,4,2,0,0,1,0,0,1,0,0,0,1,1,2,5,3,2,2,1,0,0,0,0,1,0,1,0,1,0,1,1
초격차 패키지 : 한 번에 끝내는 코딩테스트 369 Java편,4,1,4,1,11,6,2,2,7,2,1,3,2,0,3,1,2,2,4,3,2,2,1,2,2,1,1,1,2,4,4
The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,4,0,0,3,3,0,1,2,1,4,4,2,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,2,2,6,7
초격차 패키지: 한 번에 끝내는 비즈니스 영어,4,0,2,2,0,1,2,1,4,0,1,1,1,1,8,2,3,1,4,2,1,0,2,1,3,3,0,1,1,1,5
실무 프로젝트로 배우는 Kotlin & Spring : 리팩토링부터 서비스 구현까지,4,3,3,3,2,0,2,7,6,2,1,2,1,0,12,5,2,3,9,0,0,1,0,1,3,2,0,2,3,8,3
올인원 패키지 : 엑셀로 만드는 부동산 Financial Modeling,4,1,3,0,0,0,1,1,2,3,2,1,0,2,4,2,2,1,2,2,0,2,1,0,1,0,1,0,2,1,6
초격차 패키지 : 한번에 끝내는 UX/UI 디자인,4,0,1,5,3,3,2,3,3,6,4,5,3,10,6,5,6,1,4,1,1,1,4,6,4,2,2,3,4,1,7
합격의 하이패스 : SQLD 자격 과정,4,3,3,5,3,7,0,11,13,12,13,12,4,8,11,9,6,6,6,7,9,16,7,9,10,6,4,8,40,7,8
[2022] 올인원 패키지 : 부동산 디벨로퍼,4,0,1,1,0,1,0,1,0,1,0,1,1,0,4,2,1,2,0,0,0,2,2,0,0,2,1,0,1,2,4
