,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
코스(상품) 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
올인원 패키지 : 6개월 치 업무를 하루 만에 끝내는 업무자동화 2,33,52,21,16,9,10,9,6,2,3,4,1,9,9,1,9,3,5,4,11,2,4,3,4,7,6,4,5,9,22,0
올인원 패키지 : 혁펜하임의 AI DEEP DIVE (Online.),27,23,11,14,9,3,4,5,5,7,4,3,4,5,4,1,2,3,2,3,3,5,2,2,4,3,11,5,1,9,0
"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",24,19,13,21,19,54,15,7,8,9,7,8,18,10,9,6,5,4,5,17,4,5,5,6,8,7,12,10,7,10,0
초격차 패키지 : Solidity로 시작하는 이더리움(EVM) 기반 블록체인 개발 A to Z,13,9,1,7,5,16,0,4,4,5,7,3,8,6,2,3,0,3,0,3,0,2,1,5,8,4,5,2,3,7,0
초격차 패키지 : React Native를 활용한 빠르고 완성도 높은 앱 개발  with 21개 프로젝트,12,12,7,8,16,24,6,10,12,7,12,9,15,17,9,4,8,10,6,12,10,10,4,3,5,6,11,9,11,17,0
초격차 패키지 : 백엔드 개발자를 위한 한 번에 끝내는 대용량 데이터 & 트래픽 처리,9,6,7,0,2,3,12,10,12,7,3,6,14,22,11,10,4,5,3,1,5,7,8,9,14,7,23,10,8,16,0
초격차 패키지 : 10개 프로젝트로 완성하는 백엔드 웹개발(Java/Spring),7,6,7,3,1,2,6,11,7,9,6,10,17,25,15,12,7,13,2,2,11,8,8,9,15,8,21,24,13,30,0
초격차 패키지 : 파이썬으로 할 수 있는 모든 것 with 47개 프로젝트,7,11,8,5,4,9,10,5,7,7,9,7,15,14,9,13,5,15,2,7,10,6,8,12,13,8,22,8,6,23,0
네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,5,4,2,0,7,2,1,1,2,5,1,1,7,1,4,1,1,1,1,3,3,2,1,2,5,4,2,2,4,3,0
 초격차 패키지 : 한 번에 끝내는 서비스 기획의 모든 것,5,4,10,5,1,1,4,5,6,6,6,7,4,14,10,5,3,4,1,2,7,7,5,4,5,3,12,8,13,30,0
초격차 패키지 : 한 번에 끝내는 디지털 마케팅 시그니처 플러스,5,3,1,1,3,2,6,2,5,3,4,8,5,4,5,0,6,3,4,3,8,7,6,1,8,1,4,7,9,16,0
Live2D로 만드는 버츄얼 캐릭터 : 일러스트부터 리깅까지,5,1,1,3,2,2,5,3,5,4,0,2,7,9,5,2,6,6,2,4,5,8,3,2,10,7,6,6,2,9,0
초격차 패키지 : 프론트엔드 웹 개발의 모든 것 (시그니처),4,4,3,2,1,0,9,6,5,5,2,4,13,14,8,5,8,3,1,7,9,6,5,8,5,6,13,11,8,14,0
초격차 패키지 : 한 번에 끝내는 블록체인 개발 A to Z,4,7,1,4,2,2,4,5,3,6,7,2,7,6,4,8,3,3,0,2,5,1,3,6,0,4,3,3,5,7,0
초단기 완성 : 14일 만에 만드는 스타벅스 웹 사이트 with HTML&CSS,4,1,2,1,2,3,0,1,0,0,2,0,2,1,1,1,2,3,1,2,0,1,2,0,1,0,0,2,2,1,0
"초격차 패키지: GA4 탑재, 2023년 구글 애널리틱스 완전 정복",4,5,0,3,1,2,4,3,2,4,4,3,1,7,3,5,4,5,0,0,3,4,5,5,2,1,7,7,5,6,0
초격차 패키지 : 일잘러 필수 스킬 모음.zip,4,2,1,4,3,3,6,5,2,2,3,3,11,11,4,6,6,17,3,1,3,6,4,3,3,5,9,7,12,11,0
네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,4,4,4,3,5,3,6,4,3,7,6,4,7,5,2,7,2,2,2,1,1,3,5,9,6,6,7,0,6,5,0
초격차 패키지 : 한번에 끝내는 UX/UI 디자인,4,4,3,2,0,0,4,3,4,2,1,1,0,3,2,1,3,5,1,0,4,3,3,4,4,1,3,3,3,6,0
"CLASS : 유성민의 GA4, 12시간만에 끝장내기",4,3,5,5,2,4,0,0,1,3,3,0,1,3,0,6,2,7,0,4,7,3,2,9,3,3,2,5,10,5,0
초격차 패키지 : 한번에 끝내는 금융ㆍ투자(IB) 실무,3,1,2,0,0,2,0,2,1,1,6,1,6,4,2,1,2,3,0,1,4,1,1,3,5,0,2,0,0,6,0
올인원 패키지 : 데이터 분석을 위한 기초 통계 완전 정복,3,0,1,0,1,3,1,3,3,2,4,2,3,0,0,0,1,1,1,0,2,0,6,0,2,2,2,4,2,7,0
합격의 하이패스 : SQLD 자격 과정,3,1,2,1,0,1,2,4,1,1,0,0,1,0,1,0,0,0,0,0,2,1,0,2,0,1,1,0,1,1,0
초격차 패키지 : 한 번에 끝내는 엑셀 실무,3,1,1,1,2,0,1,2,2,0,2,4,6,3,2,2,2,7,0,1,0,0,1,3,1,0,2,2,2,3,0
초격차 패키지 : 한 번에 끝내는 컴퓨터비전,3,1,0,1,0,0,6,3,4,2,3,3,3,6,2,3,0,5,0,0,6,2,3,4,2,2,3,4,3,4,0
"DevOps 마스터 Kit with Linux, Kubernetes, Docker",3,1,1,0,1,1,2,1,0,0,1,0,2,0,1,0,1,0,0,0,0,2,1,0,0,1,1,2,4,2,0
"올인원 패키지 : 가장 쉽게 시작하는 데이터 분석, SQL 유치원",3,1,1,3,0,1,1,4,2,2,4,0,2,2,2,2,2,2,0,0,2,1,4,3,1,0,2,4,2,14,0
The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,3,5,3,1,2,0,1,2,5,1,2,1,9,3,1,2,1,3,4,5,2,2,7,2,1,1,9,7,6,6,0
