카테고리,비율
프로그래밍,0.37183098591549296
데이터 사이언스,0.19812206572769953
마케팅,0.18028169014084508
업무 생산성,0.13708920187793427
영상/3D,0.07230046948356808
디자인,0.04037558685446009
