카테고리,비율
프로그래밍,0.38741396263520156
마케팅,0.17895771878072764
데이터 사이언스,0.1720747295968535
영상/3D,0.09931170108161258
업무 생산성,0.09242871189773845
디자인,0.06981317600786627
