,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
올인원 패키지 : 100억을 움직이는 단 10장의 PPT,2,1,0,0,0,1,2,4,4,1,5,0,3,3,0,0,0,2,2,2,3,2,1,0,5,1,3,5,4,4,3
올인원 패키지 : 의료 데이터를 활용한 바이오 진단 & 신약 개발 모델 구현,2,0,0,2,11,5,3,1,6,2,10,6,7,5,1,2,3,3,1,3,5,4,3,2,2,3,1,4,3,0,4
올인원 패키지 : AWS 데이터 인프라 구축&엔지니어링 정주행 Kit,2,1,0,1,2,1,2,4,2,1,7,5,3,2,4,1,1,2,3,0,3,0,2,0,1,0,4,1,0,0,3
"DevOps 마스터 Kit with Linux, Kubernetes, Docker",2,0,0,0,0,2,2,1,0,2,1,0,2,0,0,0,1,0,3,1,1,1,0,1,0,0,1,3,0,1,1
The RED : 현실 세상의 TDD 실전편 : 설계 확장성을 위한 코드 개선 방법 by 이규원,2,0,0,1,4,0,0,1,1,0,1,1,0,2,2,1,0,1,2,2,3,2,0,0,0,2,0,1,1,0,1
올인원 패키지 : 권오상의 금융 아카데미 - 내부회계관리제도 (수강시간 제한),2,1,0,0,2,5,4,1,2,1,1,1,1,0,0,2,0,1,2,1,2,0,1,1,1,1,1,0,2,2,2
올인원 패키지 : 해오의 입문자를 위한 얼굴 그리기 강의,2,2,0,2,1,1,0,0,2,0,5,3,1,0,3,1,1,4,0,1,1,0,2,1,5,1,2,4,0,4,5
"올인원 패키지 : 한 번에 끝내는 HTML, CSS, JavaScript, TypeScript",2,1,1,0,2,1,1,2,1,1,0,1,1,1,2,0,0,0,0,2,3,2,1,0,1,2,1,1,1,1,1
올인원 패키지 : 데이터 분석을 위한 기초 통계 완전 정복,2,1,1,0,1,3,2,4,5,2,6,1,2,1,1,2,3,0,1,1,4,3,5,1,2,1,2,2,2,0,4
초격차 패키지: 15개의 프로젝트 사례로 완성하는 브랜딩,2,5,1,0,1,3,2,6,7,5,3,2,2,2,1,2,0,7,0,1,5,3,5,1,2,3,0,2,2,0,2
"올인원 패키지 : 김기현의 BERT, GPT-3를 활용한 자연어처리",2,1,0,0,0,2,0,0,2,0,1,1,1,2,1,0,0,2,0,0,1,4,0,1,0,1,0,1,0,0,0
초격차 패키지 : 딥러닝·인공지능 Signature,2,10,2,1,24,11,16,14,18,3,24,11,7,1,3,5,3,10,4,10,12,4,10,2,7,5,5,7,3,7,19
올인원 패키지 : 머신러닝 서비스 구축을 위한 실전 MLOps,2,1,1,0,5,1,3,2,2,0,7,2,5,3,2,2,0,1,1,1,5,1,3,0,2,0,3,3,1,4,3
초격차 패키지 : 한 번에 끝내는 프론트엔드 개발,2,3,0,2,8,7,10,9,8,1,6,4,3,0,1,0,3,5,5,6,12,1,7,6,6,9,6,2,2,3,9
(2022 리뉴얼) 올인원 패키지 : 프로젝트와 함께 배우는 R 데이터 분석,2,0,0,1,1,0,0,1,1,1,4,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,2,0,2
올인원 패키지 : 컴퓨터비전과 딥러닝,2,1,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2,0,3,4,4,7,1,1,5,1,5,1,2,3,3,4,1,2,3,4,8,2,2,3,2,3,1,0,41,12,5
