,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
460,460,2412333,PAYMENT,98279,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-12-31 19:12:05,[WELCOME] The RED 3만원할인,172000,CARD,142000,30000,142000,-,12,31
504,504,2412174,PAYMENT,24504,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-12-31 18:12:49,-,400000,CARD,400000,-,400000,-,12,31
506,506,2412166,PAYMENT,78568,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 18:12:44,-,259000,CARD,259000,-,259000,-,12,31
526,526,2412060,PAYMENT,98002,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 18:12:13,-,150000,POINT,150000,-,150000,-,12,31
527,527,2412057,PAYMENT,34744,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-31 18:12:15,-,158000,POINT,158000,-,158000,-,12,31
532,532,2412042,PAYMENT,59129,204670,FASTCAMPUS,RED,마케팅,The RED : 김영하 작가의 내 안의 숨은 이야기를 찾아 쓰는 법,2022-12-31 18:12:21,[WELCOME] The RED 3만원할인,198000,TRANS,168000,30000,168000,-,12,31
573,573,2411856,PAYMENT,1263,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-12-31 17:12:12,-,380000,TRANS,380000,-,380000,-,12,31
615,615,2411638,PAYMENT,67304,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-31 16:12:20,-,201000,VBANK,201000,-,201000,-,12,31
624,624,2411592,PAYMENT,39164,204652,FASTCAMPUS,RED,프로그래밍,The RED : 비즈니스 성공을 위한 Java/Spring 기반 서비스 개발과 MSA 구축 by 이희창,2022-12-31 16:12:12,-,264000,CARD,264000,-,264000,-,12,31
630,630,2411521,PAYMENT,3667,208854,FASTCAMPUS,RED,업무 생산성,The RED : YouTube 프로덕트 매니저 다니엘의 PM 101,2022-12-31 16:12:15,-,259000,CARD,259000,-,259000,-,12,31
644,644,2411464,PAYMENT,42164,209503,FASTCAMPUS,RED,프로그래밍,The RED : 효과적인 비동기처리를 위한 Kotlin Coroutines & Flow 마스터 by 김용욱,2022-12-31 15:12:56,-,229000,CARD,229000,-,229000,-,12,31
645,645,2411461,PAYMENT,20190,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-12-31 15:12:45,[무료수강권] 강의 참고용 발행_강사님,380000,PROMOTION,0,380000,0,-,12,31
671,671,2411347,PAYMENT,24178,211114,FASTCAMPUS,RED,데이터 사이언스,The RED : Snowflake를 활용한 클라우드 데이터 엔지니어링,2022-12-31 14:12:38,-,187000,CARD,187000,-,187000,-,12,31
675,675,2411335,PAYMENT,99782,204824,FASTCAMPUS,RED,데이터 사이언스,The RED : 검색엔진 구축을 위한 Elasticsearch 마스터 클래스 by 정호욱 ,2022-12-31 14:12:38,[WELCOME] The RED 3만원할인,497000,CARD,467000,30000,467000,-,12,31
683,683,2411277,PAYMENT,62867,202878,FASTCAMPUS,RED,업무 생산성,The RED : 최고제품책임자(CPO) 윤희경,2022-12-31 14:12:13,[WELCOME] The RED 3만원할인,244000,CARD,214000,30000,214000,-,12,31
686,686,2411260,PAYMENT,6346,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 14:12:04,[WELCOME] The RED 3만원할인,150000,CARD,120000,30000,120000,-,12,31
719,719,2411087,PAYMENT,91531,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-12-31 13:12:00,-,212000,CARD,212000,-,212000,-,12,31
752,752,2410920,PAYMENT,20765,204325,FASTCAMPUS,RED,마케팅,THE RED : 광고인 박웅현과 크리에이티브,2022-12-31 12:12:21,-,192000,CARD,192000,-,192000,-,12,31
765,765,2410883,PAYMENT,99245,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 11:12:29,[WELCOME] The RED 3만원할인,150000,TRANS,120000,30000,120000,-,12,31
768,768,2410873,PAYMENT,44562,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-12-31 11:12:12,[WELCOME] The RED 3만원할인,212000,POINT,182000,30000,182000,-,12,31
782,782,2410797,PAYMENT,45825,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 11:12:15,-,339000,CARD,339000,-,339000,-,12,31
785,785,2410777,PAYMENT,41155,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-12-31 10:12:59,[WELCOME] The RED 3만원할인,172000,POINT,142000,30000,142000,-,12,31
795,795,2410703,PAYMENT,6023,202878,FASTCAMPUS,RED,업무 생산성,The RED : 최고제품책임자(CPO) 윤희경,2022-12-31 10:12:09,-,244000,VBANK,244000,-,244000,-,12,31
798,798,2410687,PAYMENT,31526,204706,FASTCAMPUS,RED,프로그래밍,The RED : 견고한 UI 설계를 위한 마크업 가이드 by 정찬명,2022-12-31 09:12:28,-,215000,CARD,215000,-,215000,-,12,31
807,807,2410613,PAYMENT,46270,203657,FASTCAMPUS,RED,프로그래밍,The RED : 개발자로 살아남기 : 30년을 주도하는 9가지 필수 기술 by 박종천,2022-12-31 09:12:35,[WELCOME] The RED 3만원할인,224000,CARD,194000,30000,194000,-,12,31
831,831,2410364,PAYMENT,23184,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-31 03:12:55,-,339000,POINT,339000,-,339000,-,12,31
841,841,2410235,PAYMENT,56200,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-12-31 02:12:03,[WELCOME] The RED 3만원할인,172000,CARD,142000,30000,142000,-,12,31
856,856,2410133,PAYMENT,14565,204325,FASTCAMPUS,RED,마케팅,THE RED : 광고인 박웅현과 크리에이티브,2022-12-31 01:12:41,[CX] 검수용 쿠폰_레드,192000,PROMOTION,0,192000,0,-,12,31
858,858,2410120,PAYMENT,5416,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-31 01:12:41,[CX] 검수용 쿠폰_레드,158000,PROMOTION,0,158000,0,-,12,31
868,868,2410040,PAYMENT,82805,210776,FASTCAMPUS,RED,데이터 사이언스,The Red : 딥러닝 뉴럴네트워크 GNN,2022-12-31 00:12:07,-,270000,CARD,270000,-,270000,-,12,31
892,892,2409617,PAYMENT,77188,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-12-30 23:12:48,[WELCOME] The RED 3만원할인,400000,CARD,370000,30000,370000,-,12,30
948,948,2408996,PAYMENT,74728,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-30 22:12:32,-,150000,CARD,150000,-,150000,-,12,30
968,968,2408785,PAYMENT,89766,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-30 21:12:32,-,158000,CARD,158000,-,158000,-,12,30
993,993,2408531,PAYMENT,64914,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-12-30 20:12:42,-,201000,CARD,201000,-,201000,-,12,30
994,994,2408521,PAYMENT,55808,208098,FASTCAMPUS,RED,프로그래밍,The RED : 모든 비즈니스를 성공으로 이끄는 Product Management Essential by 김영욱,2022-12-30 20:12:09,-,256000,CARD,256000,-,256000,-,12,30
1007,1007,2408380,PAYMENT,88207,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-30 20:12:54,-,339000,POINT,339000,-,339000,-,12,30
1015,1015,2408291,PAYMENT,37218,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-30 19:12:21,[WELCOME] The RED 3만원할인,158000,CARD,128000,30000,128000,-,12,30
1063,1063,2407775,PAYMENT,36259,205535,FASTCAMPUS,RED,데이터 사이언스,The RED : 현실 데이터를 활용한 추천시스템 구현 A to Z by 번개장터 CTO 이동주,2022-12-30 17:12:57,-,502000,POINT,502000,-,502000,-,12,30
1067,1067,2407753,PAYMENT,98280,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-30 17:12:52,[WELCOME] The RED 3만원할인,175000,CARD,145000,30000,145000,-,12,30
1074,1074,2407651,PAYMENT,8436,204706,FASTCAMPUS,RED,프로그래밍,The RED : 견고한 UI 설계를 위한 마크업 가이드 by 정찬명,2022-12-30 17:12:45,[WELCOME] The RED 3만원할인,215000,CARD,185000,30000,185000,-,12,30
1089,1089,2407505,PAYMENT,17794,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-12-30 16:12:14,-,212000,CARD,212000,-,212000,-,12,30
1124,1124,2407144,PAYMENT,57670,206814,FASTCAMPUS,RED,영상/3D,The RED : 블리자드 라이팅 아티스트 : 이호성의 언리얼 엔진 라이팅,2022-12-30 15:12:50,[WELCOME] The RED 3만원할인,328000,CARD,298000,30000,298000,-,12,30
1163,1163,2406800,PAYMENT,6585,210776,FASTCAMPUS,RED,데이터 사이언스,The Red : 딥러닝 뉴럴네트워크 GNN,2022-12-30 14:12:43,-,270000,CARD,270000,-,270000,-,12,30
1165,1165,2406791,PAYMENT,17207,208316,FASTCAMPUS,RED,프로그래밍,The RED : 25개 백엔드 개발 필수 현업 예제를 통해 마스터하는 JAVA STREAM,2022-12-30 14:12:15,-,281000,CARD,281000,-,281000,-,12,30
1206,1206,2406406,PAYMENT,94449,213981,FASTCAMPUS,RED,마케팅,The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,2022-12-30 13:12:01,[WELCOME] The RED 3만원할인,158000,CARD,128000,30000,128000,-,12,30
1217,1217,2406334,PAYMENT,37098,206099,FASTCAMPUS,RED,프로그래밍,The RED : 조은의 프론트엔드 실무 가이드 : 요구사항 분석과 적정 기술,2022-12-30 13:12:42,[WELCOME] The RED 3만원할인,230000,CARD,200000,30000,200000,-,12,30
1221,1221,2406291,PAYMENT,11326,206814,FASTCAMPUS,RED,영상/3D,The RED : 블리자드 라이팅 아티스트 : 이호성의 언리얼 엔진 라이팅,2022-12-30 12:12:06,-,328000,CARD,328000,-,328000,-,12,30
1238,1238,2406138,PAYMENT,484,213179,FASTCAMPUS,RED,데이터 사이언스,The Red : GPT3 거대모델과 블록체인의 결합: AINFT & Web 3.0의 미래,2022-12-30 12:12:30,[WELCOME] The RED 3만원할인,196000,CARD,166000,30000,166000,-,12,30
1287,1287,2405849,PAYMENT,88010,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-12-30 10:12:03,[WELCOME] The RED 3만원할인,150000,POINT,120000,30000,120000,-,12,30
1288,1288,2405841,PAYMENT,63107,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-12-30 10:12:46,-,175000,CARD,175000,-,175000,-,12,30
1299,1299,2405774,PAYMENT,50698,212037,FASTCAMPUS,RED,데이터 사이언스,THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,2022-12-30 10:12:11,-,380000,CARD,380000,-,380000,-,12,30
1321,1321,2405617,PAYMENT,71839,202878,FASTCAMPUS,RED,업무 생산성,The RED : 최고제품책임자(CPO) 윤희경,2022-12-30 10:12:12,[WELCOME] The RED 3만원할인,244000,TRANS,214000,30000,214000,-,12,30
